case_id,event_index,timestamp,stage,actor
D000,0,2026-01-01 00:18:00,goals,designer
D000,1,2026-01-01 00:56:00,assessment,designer
D000,2,2026-01-01 01:30:00,activity,designer
D000,3,2026-01-01 02:21:00,content,designer
D000,4,2026-01-01 02:48:00,activity,designer
D000,5,2026-01-01 02:58:00,review,designer
D000,6,2026-01-01 03:35:00,release,designer
D001,0,2026-01-01 08:33:00,goals,designer
D001,1,2026-01-01 09:19:00,assessment,ai_assistant
D001,2,2026-01-01 09:32:00,activity,ai_assistant
D001,3,2026-01-01 10:26:00,content,designer
D001,4,2026-01-01 10:51:00,activity,designer
D001,5,2026-01-01 11:03:00,review,ai_assistant
D001,6,2026-01-01 11:47:00,release,designer
D002,0,2026-01-01 17:09:00,goals,ai_assistant
D002,1,2026-01-01 17:34:00,assessment,designer
D002,2,2026-01-01 18:16:00,activity,designer
D002,3,2026-01-01 18:41:00,content,designer
D002,4,2026-01-01 19:18:00,activity,ai_assistant
D002,5,2026-01-01 20:00:00,review,ai_assistant
D002,6,2026-01-01 20:20:00,release,designer
D003,0,2026-01-02 01:16:00,goals,designer
D003,1,2026-01-02 02:10:00,assessment,designer
D003,2,2026-01-02 02:38:00,activity,designer
D003,3,2026-01-02 03:31:00,content,ai_assistant
D003,4,2026-01-02 04:05:00,review,designer
D003,5,2026-01-02 04:36:00,assessment,designer
D003,6,2026-01-02 04:48:00,release,ai_assistant
D004,0,2026-01-02 09:30:00,goals,designer
D004,1,2026-01-02 10:10:00,assessment,ai_assistant
D004,2,2026-01-02 10:54:00,activity,designer
D004,3,2026-01-02 11:02:00,content,designer
D004,4,2026-01-02 11:20:00,activity,designer
D004,5,2026-01-02 11:49:00,review,ai_assistant
D004,6,2026-01-02 12:35:00,release,ai_assistant
D005,0,2026-01-02 18:34:00,goals,ai_assistant
D005,1,2026-01-02 19:01:00,assessment,designer
D005,2,2026-01-02 19:40:00,activity,designer
D005,3,2026-01-02 20:26:00,content,designer
D005,4,2026-01-02 21:07:00,activity,designer
D005,5,2026-01-02 21:19:00,review,designer
D005,6,2026-01-02 21:43:00,release,designer
D006,0,2026-01-03 02:09:00,goals,ai_assistant
D006,1,2026-01-03 02:28:00,assessment,ai_assistant
D006,2,2026-01-03 03:11:00,activity,designer
D006,3,2026-01-03 03:45:00,content,designer
D006,4,2026-01-03 04:31:00,review,designer
D006,5,2026-01-03 04:58:00,release,designer
D007,0,2026-01-03 11:04:00,goals,designer
D007,1,2026-01-03 11:57:00,assessment,designer
D007,2,2026-01-03 12:46:00,activity,ai_assistant
D007,3,2026-01-03 13:28:00,content,designer
D007,4,2026-01-03 13:38:00,activity,designer
D007,5,2026-01-03 14:15:00,review,ai_assistant
D007,6,2026-01-03 14:34:00,assessment,designer
D007,7,2026-01-03 14:42:00,release,designer
D008,0,2026-01-03 19:33:00,goals,designer
D008,1,2026-01-03 20:08:00,assessment,designer
D008,2,2026-01-03 20:31:00,activity,designer
D008,3,2026-01-03 20:44:00,content,ai_assistant
D008,4,2026-01-03 21:32:00,activity,designer
D008,5,2026-01-03 22:26:00,review,designer
D008,6,2026-01-03 22:59:00,assessment,ai_assistant
D008,7,2026-01-03 23:44:00,release,designer
D009,0,2026-01-04 03:54:00,goals,designer
D009,1,2026-01-04 04:31:00,assessment,designer
D009,2,2026-01-04 05:05:00,activity,designer
D009,3,2026-01-04 05:31:00,content,designer
D009,4,2026-01-04 05:55:00,activity,designer
D009,5,2026-01-04 06:21:00,review,ai_assistant
D009,6,2026-01-04 06:54:00,release,designer
D010,0,2026-01-04 11:28:00,goals,designer
D010,1,2026-01-04 11:41:00,assessment,designer
D010,2,2026-01-04 12:28:00,activity,ai_assistant
D010,3,2026-01-04 12:42:00,content,designer
D010,4,2026-01-04 13:22:00,activity,designer
D010,5,2026-01-04 13:34:00,review,designer
D010,6,2026-01-04 14:14:00,assessment,ai_assistant
D010,7,2026-01-04 14:24:00,release,ai_assistant
D011,0,2026-01-04 19:59:00,goals,designer
D011,1,2026-01-04 20:18:00,assessment,ai_assistant
D011,2,2026-01-04 20:49:00,activity,ai_assistant
D011,3,2026-01-04 21:38:00,content,ai_assistant
